"notes","created_at","updated_at","is_active","id_user_created","id_user_updated","id","business_tax_id","name","status","date_aproved","short_name","address","country","area_code","city","zip_code","website","is_profit_margin_included","default_profit_margin","credit_term","phone","skype","dispatch_address","email","email_payment","dispatch_days","cargo_reference","type_partner","businnes_start","consolidate","reference_1","contact_reference_1","phone_reference_1","reference_2","contact_reference_2","phone_reference_2","is_verified","seller","id_seller","years_in_market"
"","2025-01-14 16:33:44.566729","2025-03-27 07:34:48.633128",1,0,2,1,"39048452",Premier Floral Corp,APROBADO,,,"3555 Nw 82nd Ave, Doral, Fl 33122, United States",Estados Unidos,,Estados Unidos,,,0,0.06,45,,,"3555 Nw 82nd Ave, Doral, Fl 33122, United States",receiving@premierfloralcorp.com,,,,CLIENTE,,0,,,,,,,1,,0,0
"","2025-01-14 16:33:44.607123","2025-03-27 07:21:19.596762",1,0,2,2,"390484522",A&C Wholesle Flower,APROBADO,,,"823 San Julian St",Estados Unidos,,Estados Unidos,,,0,0.06,30,,,"823 San Julian St",a-cflowers@hotmail.com,,,,CLIENTE,,0,,,,,,,1,,0,0
"","2025-01-14 16:33:44.641261","2025-03-27 07:21:35.793545",1,0,2,3,"390484524",Aliance Floral Co,APROBADO,,,"5858 Dryden Pl, Ste 17",Estados Unidos,,Estados Unidos,,,0,0.06,30,,,"5858 Dryden Pl, Ste 17",rudy@alliancefloralco.com,,,,CLIENTE,,0,,,,,,,1,,0,0
"","2025-01-14 16:33:44.673958","2025-06-01 07:51:24.130840",1,0,1,4,"390484525",Mary & Gm Flower,APROBADO,,,"7410 State St, Huntington Park, Ca 90257",Estados Unidos,,Estados Unidos,,,0,0.06,30,,,"7410 State St, Huntington Park, Ca 90257",cvflor-facturas@hotmail.com,,,,CLIENTE,,0,,,,,,,0,,0,0
"","2025-01-14 16:33:44.706114","2025-03-27 07:29:42.659780",1,0,2,5,"390484526",Global Flowers,APROBADO,,,Av. Quijano Y Ordoñez Entre Tarqui Y Gral. Maldonado,Rusia,,Moscu,,,0,0.06,15,,,Av. Quijano Y Ordoñez Entre Tarqui Y Gral. Maldonado,globalflowers@bk.ru,,,,CLIENTE,,0,,,,,,,1,,0,0
"","2025-01-14 16:33:44.740534","2025-03-27 07:32:10.260351",1,0,2,6,"390484527",Miaflora Farms Llc,APROBADO,,,"2801 Nw 74th Ave Suite 209 Fl 33122",Estados Unidos,,Miami,,,0,0.06,30,,,"2801 Nw 74th Ave Suite 209 Fl 33122",accounting@miaflorafarms.com,,,,CLIENTE,,0,,,,,,,1,,0,0
"","2025-01-14 16:33:44.772390","2025-03-27 07:35:28.712537",1,0,2,7,"390484582",Rainbow Landflowers Corp,APROBADO,,,"4540 37th Ave, Queens, Ny 11101",Estados Unidos,,Estados Unidos,,,0,0.06,30,,,"4540 37th Ave, Queens, Ny 11101",rainbowlandflowers@hotmail.com,,,,CLIENTE,,0,,,,,,,1,,0,0
"","2025-01-14 16:33:44.806911","2025-06-25 22:27:22.866658",1,0,2,8,"390484529",Florida Floral Connection,APROBADO,,,"2730 Nw. 72 Ave. Miami Florida 33122",Estados Unidos,,Miami,,,0,0.06,30,,,"2730 Nw. 72 Ave. Miami Florida 33122",fenix.flower@hotmail.com,,,,CLIENTE,,0,,,,,,,1,,0,0
"","2025-01-14 16:33:44.840324","2025-03-27 07:31:39.942696",1,0,2,9,"390438452",Logistic Farms Zamba Flowers,APROBADO,,,"9440 Nw 12th St Doral,",Estados Unidos,,Estados Unidos,,,0,0.06,20,,,"9440 Nw 12th St Doral,",invoicing@logistic-farms.com,,,,CLIENTE,,0,,,,,,,1,,0,0
"","2025-01-14 16:33:44.873349","2025-03-27 07:34:27.311792",1,0,2,10,"390484352",Plantaciones El Trebol Cia. Ltda.,APROBADO,,,Garcilazo De La Vega Y 1ro De Mayo,Ecuador,,Cuenca,,,0,0.06,0,,,Garcilazo De La Vega Y 1ro De Mayo,felectronicas@trebolroses.com,,,,CLIENTE,,0,,,,,,,1,,0,0
